"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,0.368530818514374,0.581,0.386,0,"7","Gpr22"
0,0.890456764145491,0.41,0.216,0,"7","Htr5a"
0,0.322575409281693,0.468,0.276,0,"7","Pcdh15"
0,0.75249972485214,0.356,0.166,0,"7","Gpr161"
0,0.312853359354124,0.925,0.744,0,"7","Adgrl1"
0,1.18564301978868,0.467,0.289,0,"7","Adgra3"
0,0.371175206136797,0.578,0.402,0,"7","Gpr27"
0,0.361594389321151,0.876,0.702,0,"7","Adgrb1"
0,0.504641034680885,0.576,0.406,0,"7","Grm1"
0,1.80978665726164,0.272,0.127,0,"7","Egfr"
0,1.21524903105518,0.285,0.142,0,"7","Htr1f"
0,0.474989516515674,0.344,0.202,0,"7","Chrm4"
0,0.744756132019845,0.298,0.162,0,"7","Oprm1"
0,0.520526506028524,0.37,0.235,0,"7","Gpr135"
0,0.590516687308536,0.306,0.186,0,"7","Adra1b"
0,0.515158645421712,0.5,0.382,0,"7","Tmem108"
0,0.458413510021291,0.291,0.192,0,"7","Gpr45"
0,0.858940601715305,0.256,0.168,0,"7","Sstr1"
0,6.9667989283228,0.907,0.039,0,"8","Gpr17"
0,5.53294322710763,0.806,0.073,0,"8","Pdgfra"
0,1.64026180649555,0.943,0.283,0,"8","Gjc3"
